ma_shop_n, metroarian, ma_ptrans, ucl_code, ma_edu, ucl_name, metroariac, ma_shop, ma_edu_n, ma_hlth_n, ma_hlth, ma_ptransn, ma_fpost_n, ma_fpost, sa1no
"Moderate Accessibility","Moderate Accessibility",3,201001,3,"Melbourne",3,3,"Moderate Accessibility","Moderate Accessibility",3,"Moderate Accessibility","Moderate Accessibility",3,"21102126123"
"Moderate Accessibility","Moderate Accessibility",4,201001,3,"Melbourne",3,3,"Moderate Accessibility","High Accessibility",2,"Low Accessibility","High Accessibility",2,"21102126124"
"Moderate Accessibility","High Accessibility",2,201001,3,"Melbourne",2,3,"Moderate Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21102126125"
"Moderate Accessibility","Moderate Accessibility",4,201001,3,"Melbourne",3,3,"Moderate Accessibility","Moderate Accessibility",3,"Low Accessibility","Moderate Accessibility",3,"21102126126"
"Moderate Accessibility","Moderate Accessibility",4,201001,3,"Melbourne",3,3,"Moderate Accessibility","Moderate Accessibility",3,"Low Accessibility","Moderate Accessibility",3,"21102126127"
"Low Accessibility","Low Accessibility",5,201001,3,"Melbourne",4,4,"Moderate Accessibility","Low Accessibility",4,"Limited Accessibility","Low Accessibility",4,"21102126128"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"21102126129"
"Moderate Accessibility","Low Accessibility",5,201001,3,"Melbourne",4,3,"Moderate Accessibility","Moderate Accessibility",3,"Limited Accessibility","Moderate Accessibility",3,"21102126130"
"Low Accessibility","Low Accessibility",3,201001,3,"Melbourne",4,4,"Moderate Accessibility","Low Accessibility",4,"Moderate Accessibility","Moderate Accessibility",3,"21102126131"
"Low Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,4,"Moderate Accessibility","Moderate Accessibility",3,"High Accessibility","High Accessibility",2,"21102126132"
"Low Accessibility","Low Accessibility",4,201001,3,"Melbourne",4,4,"Moderate Accessibility","Low Accessibility",4,"Low Accessibility","Moderate Accessibility",3,"21102126133"
"Low Accessibility","Moderate Accessibility",3,201001,3,"Melbourne",3,4,"Moderate Accessibility","Low Accessibility",4,"Moderate Accessibility","Moderate Accessibility",3,"21102126134"
"Moderate Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,3,"Moderate Accessibility","Moderate Accessibility",3,"High Accessibility","High Accessibility",2,"21102126135"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"21102126136"
"Moderate Accessibility","Moderate Accessibility",4,201001,3,"Melbourne",3,3,"Moderate Accessibility","High Accessibility",2,"Low Accessibility","Moderate Accessibility",3,"21102126137"
"High Accessibility","High Accessibility",1,201001,3,"Melbourne",2,2,"Moderate Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"21102126138"
"High Accessibility","High Accessibility",2,201001,3,"Melbourne",2,2,"Moderate Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"21102126139"
"Low Accessibility","Low Accessibility",5,201001,4,"Melbourne",4,4,"Low Accessibility","Low Accessibility",4,"Limited Accessibility","Low Accessibility",4,"21102126201"
"Moderate Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,3,"Moderate Accessibility","Moderate Accessibility",3,"High Accessibility","Moderate Accessibility",3,"21102126205"
"Moderate Accessibility","Low Accessibility",4,201001,4,"Melbourne",4,3,"Low Accessibility","Moderate Accessibility",3,"Low Accessibility","Low Accessibility",4,"21102126206"
"Moderate Accessibility","Low Accessibility",4,201001,4,"Melbourne",4,3,"Low Accessibility","Moderate Accessibility",3,"Low Accessibility","Moderate Accessibility",3,"21102126207"
"Low Accessibility","Low Accessibility",4,201001,4,"Melbourne",4,4,"Low Accessibility","Low Accessibility",4,"Low Accessibility","Low Accessibility",4,"21102126208"
"Low Accessibility","Low Accessibility",2,201001,4,"Melbourne",4,4,"Low Accessibility","Low Accessibility",4,"High Accessibility","Low Accessibility",4,"21102126209"
"Low Accessibility","Low Accessibility",4,201001,4,"Melbourne",4,4,"Low Accessibility","Low Accessibility",4,"Low Accessibility","Low Accessibility",4,"21102126210"
"Low Accessibility","Low Accessibility",5,201001,3,"Melbourne",4,4,"Moderate Accessibility","Low Accessibility",4,"Limited Accessibility","Moderate Accessibility",3,"21102126211"
"Low Accessibility","Low Accessibility",2,201001,4,"Melbourne",4,4,"Low Accessibility","Low Accessibility",4,"High Accessibility","Limited Accessibility",5,"21102126213"
"Low Accessibility","Low Accessibility",3,201001,4,"Melbourne",4,4,"Low Accessibility","Low Accessibility",4,"Moderate Accessibility","Limited Accessibility",5,"21102126214"
"Low Accessibility","Low Accessibility",3,201001,4,"Melbourne",4,4,"Low Accessibility","Low Accessibility",4,"Moderate Accessibility","Low Accessibility",4,"21102126215"
"Moderate Accessibility","Moderate Accessibility",2,201001,4,"Melbourne",3,3,"Low Accessibility","Moderate Accessibility",3,"High Accessibility","Low Accessibility",4,"21102126216"
"Moderate Accessibility","Moderate Accessibility",2,201001,2,"Melbourne",3,3,"High Accessibility","Moderate Accessibility",3,"High Accessibility","Moderate Accessibility",3,"21102126220"
"Moderate Accessibility","Moderate Accessibility",2,201001,2,"Melbourne",3,3,"High Accessibility","Moderate Accessibility",3,"High Accessibility","Moderate Accessibility",3,"21102126221"
"Moderate Accessibility","Low Accessibility",4,201001,4,"Melbourne",4,3,"Low Accessibility","Moderate Accessibility",3,"Low Accessibility","Moderate Accessibility",3,"21102126222"
"Moderate Accessibility","Moderate Accessibility",1,201001,4,"Melbourne",3,3,"Low Accessibility","Moderate Accessibility",3,"Very High Accessibility","Low Accessibility",4,"21102126223"
"Moderate Accessibility","Moderate Accessibility",4,201001,3,"Melbourne",3,3,"Moderate Accessibility","Moderate Accessibility",3,"Low Accessibility","Moderate Accessibility",3,"21102126224"
"Low Accessibility","Low Accessibility",5,201001,3,"Melbourne",4,4,"Moderate Accessibility","Moderate Accessibility",3,"Limited Accessibility","Low Accessibility",4,"21102126226"
"Low Accessibility","Low Accessibility",2,201001,5,"Melbourne",4,4,"Limited Accessibility","Low Accessibility",4,"High Accessibility","Limited Accessibility",5,"21102126228"
"Moderate Accessibility","Moderate Accessibility",3,201001,3,"Melbourne",3,3,"Moderate Accessibility","Moderate Accessibility",3,"Moderate Accessibility","Moderate Accessibility",3,"21102126232"
"Moderate Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,3,"Moderate Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126301"
"Moderate Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,3,"Moderate Accessibility","Moderate Accessibility",3,"High Accessibility","Moderate Accessibility",3,"21103126302"
"Moderate Accessibility","High Accessibility",2,201001,3,"Melbourne",2,3,"Moderate Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126303"
"Moderate Accessibility","Moderate Accessibility",3,201001,3,"Melbourne",3,3,"Moderate Accessibility","Moderate Accessibility",3,"Moderate Accessibility","Low Accessibility",4,"21103126304"
"High Accessibility","High Accessibility",2,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126305"
"Moderate Accessibility","High Accessibility",2,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"21103126306"
"Moderate Accessibility","Moderate Accessibility",4,201001,2,"Melbourne",3,3,"High Accessibility","High Accessibility",2,"Low Accessibility","Moderate Accessibility",3,"21103126307"
"Moderate Accessibility","Moderate Accessibility",4,201001,2,"Melbourne",3,3,"High Accessibility","High Accessibility",2,"Low Accessibility","Moderate Accessibility",3,"21103126308"
"Moderate Accessibility","Moderate Accessibility",3,201001,3,"Melbourne",3,3,"Moderate Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"21103126309"
"Moderate Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,3,"Moderate Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"21103126310"
"Low Accessibility","Low Accessibility",3,201001,3,"Melbourne",4,4,"Moderate Accessibility","Moderate Accessibility",3,"Moderate Accessibility","Low Accessibility",4,"21103126311"
"Moderate Accessibility","Moderate Accessibility",1,201001,3,"Melbourne",3,3,"Moderate Accessibility","High Accessibility",2,"Very High Accessibility","Low Accessibility",4,"21103126312"
"Moderate Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,3,"Moderate Accessibility","High Accessibility",2,"High Accessibility","Low Accessibility",4,"21103126313"
"Low Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,4,"Moderate Accessibility","Moderate Accessibility",3,"High Accessibility","Low Accessibility",4,"21103126314"
"Moderate Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,3,"Moderate Accessibility","High Accessibility",2,"High Accessibility","Low Accessibility",4,"21103126315"
"Moderate Accessibility","Moderate Accessibility",2,201001,2,"Melbourne",3,3,"High Accessibility","High Accessibility",2,"High Accessibility","Low Accessibility",4,"21103126316"
"Moderate Accessibility","Moderate Accessibility",1,201001,3,"Melbourne",3,3,"Moderate Accessibility","High Accessibility",2,"Very High Accessibility","Low Accessibility",4,"21103126317"
"Moderate Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,3,"Moderate Accessibility","High Accessibility",2,"High Accessibility","Low Accessibility",4,"21103126318"
"Moderate Accessibility","Moderate Accessibility",1,201001,2,"Melbourne",3,3,"High Accessibility","High Accessibility",2,"Very High Accessibility","Low Accessibility",4,"21103126319"
"Moderate Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,3,"Moderate Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"21103126320"
"Moderate Accessibility","High Accessibility",1,201001,3,"Melbourne",2,3,"Moderate Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"21103126321"
"Moderate Accessibility","Moderate Accessibility",2,201001,2,"Melbourne",3,3,"High Accessibility","High Accessibility",2,"High Accessibility","Low Accessibility",4,"21103126322"
"Moderate Accessibility","Moderate Accessibility",3,201001,3,"Melbourne",3,3,"Moderate Accessibility","High Accessibility",2,"Moderate Accessibility","Low Accessibility",4,"21103126323"
"Moderate Accessibility","Moderate Accessibility",2,201001,3,"Melbourne",3,3,"Moderate Accessibility","High Accessibility",2,"High Accessibility","Low Accessibility",4,"21103126324"
"Moderate Accessibility","Moderate Accessibility",2,201001,2,"Melbourne",3,3,"High Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"21103126325"
"Moderate Accessibility","High Accessibility",2,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126326"
"Moderate Accessibility","Moderate Accessibility",3,201001,3,"Melbourne",3,3,"Moderate Accessibility","High Accessibility",2,"Moderate Accessibility","Low Accessibility",4,"21103126327"
"Low Accessibility","Limited Accessibility",5,201001,3,"Melbourne",5,4,"Moderate Accessibility","Low Accessibility",4,"Limited Accessibility","Low Accessibility",4,"21103126328"
"Low Accessibility","Low Accessibility",3,201001,3,"Melbourne",4,4,"Moderate Accessibility","Moderate Accessibility",3,"Moderate Accessibility","Limited Accessibility",5,"21103126329"
"Moderate Accessibility","Low Accessibility",4,201001,3,"Melbourne",4,3,"Moderate Accessibility","Low Accessibility",4,"Low Accessibility","Low Accessibility",4,"21103126330"
"Moderate Accessibility","Moderate Accessibility",4,201001,2,"Melbourne",3,3,"High Accessibility","High Accessibility",2,"Low Accessibility","High Accessibility",2,"21103126401"
"Low Accessibility","Moderate Accessibility",4,201001,2,"Melbourne",3,4,"High Accessibility","High Accessibility",2,"Low Accessibility","Low Accessibility",4,"21103126402"
"High Accessibility","High Accessibility",3,201001,2,"Melbourne",2,2,"High Accessibility","Very High Accessibility",1,"Moderate Accessibility","High Accessibility",2,"21103126403"
"Moderate Accessibility","High Accessibility",3,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"Moderate Accessibility","Very High Accessibility",1,"21103126404"
"Moderate Accessibility","Moderate Accessibility",5,201001,3,"Melbourne",3,3,"Moderate Accessibility","Moderate Accessibility",3,"Limited Accessibility","High Accessibility",2,"21103126405"
"Moderate Accessibility","High Accessibility",3,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"Moderate Accessibility","Very High Accessibility",1,"21103126406"
"Moderate Accessibility","High Accessibility",2,201001,1,"Melbourne",2,3,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"21103126407"
"Moderate Accessibility","High Accessibility",1,201001,1,"Melbourne",2,3,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"21103126408"
"Moderate Accessibility","High Accessibility",2,201001,1,"Melbourne",2,3,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126409"
"Moderate Accessibility","High Accessibility",3,201001,1,"Melbourne",2,3,"Very High Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"21103126410"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"21103126411"
"Moderate Accessibility","High Accessibility",2,201001,1,"Melbourne",2,3,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126412"
"Moderate Accessibility","High Accessibility",2,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126413"
"Moderate Accessibility","High Accessibility",2,201001,1,"Melbourne",2,3,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126414"
"Moderate Accessibility","High Accessibility",2,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126415"
"High Accessibility","High Accessibility",4,201001,2,"Melbourne",2,2,"High Accessibility","Very High Accessibility",1,"Low Accessibility","High Accessibility",2,"21103126416"
"High Accessibility","High Accessibility",3,201001,2,"Melbourne",2,2,"High Accessibility","Very High Accessibility",1,"Moderate Accessibility","High Accessibility",2,"21103126417"
"High Accessibility","High Accessibility",2,201001,1,"Melbourne",2,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"21103126418"
"Moderate Accessibility","Moderate Accessibility",4,201001,2,"Melbourne",3,3,"High Accessibility","High Accessibility",2,"Low Accessibility","Moderate Accessibility",3,"21103126419"
"High Accessibility","Moderate Accessibility",4,201001,2,"Melbourne",3,2,"High Accessibility","Very High Accessibility",1,"Low Accessibility","Moderate Accessibility",3,"21103126420"
"Moderate Accessibility","High Accessibility",2,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"21103126421"
"Moderate Accessibility","High Accessibility",3,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"21103126422"
"Moderate Accessibility","High Accessibility",3,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"21103126423"
"Moderate Accessibility","Moderate Accessibility",3,201001,2,"Melbourne",3,3,"High Accessibility","Moderate Accessibility",3,"Moderate Accessibility","Moderate Accessibility",3,"21103126424"
"Moderate Accessibility","Moderate Accessibility",5,201001,2,"Melbourne",3,3,"High Accessibility","Moderate Accessibility",3,"Limited Accessibility","High Accessibility",2,"21103126425"
"Moderate Accessibility","High Accessibility",2,201001,1,"Melbourne",2,3,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Moderate Accessibility",3,"21103126426"
"High Accessibility","Moderate Accessibility",4,201001,2,"Melbourne",3,2,"High Accessibility","Moderate Accessibility",3,"Low Accessibility","Moderate Accessibility",3,"21103126427"
"Moderate Accessibility","High Accessibility",2,201001,1,"Melbourne",2,3,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"21103126428"
"Moderate Accessibility","High Accessibility",3,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"21103126429"
"Moderate Accessibility","Moderate Accessibility",4,201001,2,"Melbourne",3,3,"High Accessibility","High Accessibility",2,"Low Accessibility","Moderate Accessibility",3,"21103126430"
"High Accessibility","High Accessibility",2,201001,1,"Melbourne",2,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"21103126431"
"High Accessibility","High Accessibility",2,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126432"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"21103126433"
"Moderate Accessibility","High Accessibility",2,201001,1,"Melbourne",2,3,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126434"
"Moderate Accessibility","Moderate Accessibility",3,201001,1,"Melbourne",3,3,"Very High Accessibility","Moderate Accessibility",3,"Moderate Accessibility","Moderate Accessibility",3,"21103126435"
"Moderate Accessibility","High Accessibility",2,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126436"
"High Accessibility","High Accessibility",2,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"21103126437"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"21103126438"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"21103126439"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"21103126440"
"High Accessibility","High Accessibility",3,201001,1,"Melbourne",2,2,"Very High Accessibility","Very High Accessibility",1,"Moderate Accessibility","Very High Accessibility",1,"21103126441"
"Moderate Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,3,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"21103126442"
"Moderate Accessibility","Moderate Accessibility",4,201001,2,"Melbourne",3,3,"High Accessibility","High Accessibility",2,"Low Accessibility","High Accessibility",2,"21103126443"
"High Accessibility","High Accessibility",3,201001,2,"Melbourne",2,2,"High Accessibility","Very High Accessibility",1,"Moderate Accessibility","High Accessibility",2,"21103126444"
"High Accessibility","Very High Accessibility",2,201001,2,"Melbourne",1,2,"High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"21103126445"
"High Accessibility","High Accessibility",2,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126446"
"High Accessibility","High Accessibility",2,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126447"
"High Accessibility","High Accessibility",3,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"21103126448"
"Moderate Accessibility","High Accessibility",2,201001,1,"Melbourne",2,3,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126449"
"Moderate Accessibility","High Accessibility",2,201001,1,"Melbourne",2,3,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Moderate Accessibility",3,"21103126450"
"Moderate Accessibility","High Accessibility",1,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"21103126451"
"Moderate Accessibility","High Accessibility",1,201001,1,"Melbourne",2,3,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Moderate Accessibility",3,"21103126452"
"Moderate Accessibility","High Accessibility",2,201001,2,"Melbourne",2,3,"High Accessibility","Very High Accessibility",1,"High Accessibility","Moderate Accessibility",3,"21103126453"
"Moderate Accessibility","High Accessibility",2,201001,2,"Melbourne",2,3,"High Accessibility","Very High Accessibility",1,"High Accessibility","Moderate Accessibility",3,"21103126454"
"Low Accessibility","Moderate Accessibility",4,201001,3,"Melbourne",3,4,"Moderate Accessibility","High Accessibility",2,"Low Accessibility","Low Accessibility",4,"21103126455"
"Moderate Accessibility","High Accessibility",3,201001,2,"Melbourne",2,3,"High Accessibility","Very High Accessibility",1,"Moderate Accessibility","High Accessibility",2,"21103126456"
"Moderate Accessibility","Moderate Accessibility",4,201001,2,"Melbourne",3,3,"High Accessibility","High Accessibility",2,"Low Accessibility","Moderate Accessibility",3,"21103126457"
"High Accessibility","High Accessibility",3,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"21103126458"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"21103126459"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","High Accessibility",2,"21103126460"
"High Accessibility","High Accessibility",2,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126461"
"High Accessibility","High Accessibility",2,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126462"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"21103126463"
"High Accessibility","High Accessibility",1,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"21103126464"
"Moderate Accessibility","High Accessibility",2,201001,1,"Melbourne",2,3,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126465"
"High Accessibility","High Accessibility",2,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126466"
"High Accessibility","High Accessibility",1,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"21103126467"
"High Accessibility","Very High Accessibility",2,201001,2,"Melbourne",1,2,"High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"21103126468"
"Low Accessibility","Moderate Accessibility",4,201001,2,"Melbourne",3,4,"High Accessibility","High Accessibility",2,"Low Accessibility","Moderate Accessibility",3,"21103126469"
"Moderate Accessibility","Moderate Accessibility",4,201001,3,"Melbourne",3,3,"Moderate Accessibility","High Accessibility",2,"Low Accessibility","Moderate Accessibility",3,"21103126470"
"High Accessibility","High Accessibility",3,201001,2,"Melbourne",2,2,"High Accessibility","Very High Accessibility",1,"Moderate Accessibility","Very High Accessibility",1,"21103126471"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126472"
"Moderate Accessibility","High Accessibility",2,201001,1,"Melbourne",2,3,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126473"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"21103126474"
"Moderate Accessibility","High Accessibility",3,201001,1,"Melbourne",2,3,"Very High Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"21103126475"
"High Accessibility","High Accessibility",3,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"21103126476"
"Moderate Accessibility","Moderate Accessibility",4,201001,1,"Melbourne",3,3,"Very High Accessibility","High Accessibility",2,"Low Accessibility","High Accessibility",2,"21103126477"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126501"
"High Accessibility","High Accessibility",2,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126502"
"Moderate Accessibility","Moderate Accessibility",3,201001,2,"Melbourne",3,3,"High Accessibility","Moderate Accessibility",3,"Moderate Accessibility","Low Accessibility",4,"21103126503"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126504"
"High Accessibility","High Accessibility",3,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"21103126505"
"Moderate Accessibility","Moderate Accessibility",2,201001,2,"Melbourne",3,3,"High Accessibility","Moderate Accessibility",3,"High Accessibility","Moderate Accessibility",3,"21103126506"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"21103126507"
"Moderate Accessibility","Moderate Accessibility",4,201001,2,"Melbourne",3,3,"High Accessibility","Moderate Accessibility",3,"Low Accessibility","Moderate Accessibility",3,"21103126508"
"Moderate Accessibility","Moderate Accessibility",4,201001,2,"Melbourne",3,3,"High Accessibility","Moderate Accessibility",3,"Low Accessibility","Moderate Accessibility",3,"21103126509"
"Moderate Accessibility","Low Accessibility",4,201001,3,"Melbourne",4,3,"Moderate Accessibility","Moderate Accessibility",3,"Low Accessibility","Low Accessibility",4,"21103126510"
"Moderate Accessibility","Moderate Accessibility",2,201001,2,"Melbourne",3,3,"High Accessibility","Moderate Accessibility",3,"High Accessibility","Low Accessibility",4,"21103126511"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"21103126512"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"21103126513"
"Moderate Accessibility","Low Accessibility",4,201001,3,"Melbourne",4,3,"Moderate Accessibility","Moderate Accessibility",3,"Low Accessibility","Low Accessibility",4,"21103126514"
"Moderate Accessibility","High Accessibility",3,201001,1,"Melbourne",2,3,"Very High Accessibility","High Accessibility",2,"Moderate Accessibility","Moderate Accessibility",3,"21103126515"
"Moderate Accessibility","High Accessibility",2,201001,1,"Melbourne",2,3,"Very High Accessibility","Moderate Accessibility",3,"High Accessibility","Moderate Accessibility",3,"21103126516"
"Moderate Accessibility","High Accessibility",2,201001,1,"Melbourne",2,3,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"21103126517"
"Moderate Accessibility","Moderate Accessibility",3,201001,2,"Melbourne",3,3,"High Accessibility","High Accessibility",2,"Moderate Accessibility","Moderate Accessibility",3,"21103126518"
"Moderate Accessibility","High Accessibility",2,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"21103126519"
"Moderate Accessibility","High Accessibility",2,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"21103126520"
"Moderate Accessibility","Moderate Accessibility",2,201001,2,"Melbourne",3,3,"High Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"21103126521"
"Moderate Accessibility","Low Accessibility",4,201001,3,"Melbourne",4,3,"Moderate Accessibility","Moderate Accessibility",3,"Low Accessibility","Low Accessibility",4,"21103126522"
"Moderate Accessibility","High Accessibility",2,201001,2,"Melbourne",2,3,"High Accessibility","High Accessibility",2,"High Accessibility","Moderate Accessibility",3,"21103126523"
"Low Accessibility","Low Accessibility",4,201001,2,"Melbourne",4,4,"High Accessibility","High Accessibility",2,"Low Accessibility","Low Accessibility",4,"21103126524"
"High Accessibility","High Accessibility",3,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"21103126525"
