Uni, Yr_12, emppoprati, NAME_2006, Cert, median06, SSC2006
0.444315,0.407247,0.650976,"Fitzroy",0.148439,44330.96773,21277
0.526447,0.322745,0.732081,"Fitzroy North",0.150808,50829.77176,21279
0.334617,0.510351,0.574181,"Flemington",0.155031,36578.77065,21281
0.31282,0.514746,0.59651,"Footscray",0.172435,29830.51313,21283
0.299278,0.445201,0.728362,"Forest Hill",0.255521,38732.56653,21285
0.11932,0.578563,0.646017,"Frankston",0.302118,32899.10871,21287
0.041637,0.723977,0.52977,"Frankston North",0.234386,25032.97235,21289
0.211195,0.459256,0.75672,"Frankston South",0.329549,43549.37504,21291
0.39,0.35,0.794314,"Gardenvale",0.26,49344.74873,21293
0.113043,0.623458,0.655612,"Gladstone Park",0.263498,32952.11346,21295
0.421095,0.371602,0.710804,"Glen Huntly",0.207302,40724.70481,21297
0.506101,0.290955,0.782017,"Glen Iris",0.202944,57832.28658,21299
0.379193,0.383879,0.715283,"Glen Waverley",0.236927,41556.60305,21301
0.140075,0.624637,0.586767,"Glenroy",0.235288,29397.18445,21303
0.21595,0.463262,0.798742,"Gowanbrae",0.320789,47344.34105,21305
0.228166,0.455805,0.764649,"Greensborough",0.316029,42776.86829,21307
0.148936,0.573589,0.753251,"Greenvale",0.277475,38865.17969,21309
0.105179,0.663187,0.606182,"Hadfield",0.231634,29725.35416,21311
0.113039,0.623332,0.680076,"Hallam",0.263629,32993.02832,21313
0.412175,0.357641,0.741439,"Hampton",0.230184,55476.34818,21315
0.3042,0.450148,0.688108,"Hampton East",0.245651,40040.40168,21317
0.09312,0.637848,0.66911,"Hampton Park",0.269032,32718.5985,21319
0.243478,0.395652,0.831224,"Harkaway",0.36087,43376.79942,21321
0.05194,0.643582,0.590556,"Hastings",0.304478,27747.03715,21323
0.542335,0.28725,0.767219,"Hawthorn",0.170415,56839.93279,21325
0.537747,0.285127,0.766477,"Hawthorn East",0.177126,56999.84927,21327
0.260593,0.449859,0.75689,"Heatherton",0.289548,46985.00878,21329
0.238703,0.438054,0.749676,"Heathmont",0.323243,42302.29582,21331
0.430104,0.335986,0.770055,"Heidelberg",0.23391,48524.52759,21333
0.252576,0.5064,0.660324,"Heidelberg Heights",0.241024,36448.63313,21335
0.142969,0.646484,0.472613,"Heidelberg West",0.210547,23404.37661,21337
0.268045,0.455131,0.745706,"Highett",0.276824,42933.43576,21339
0.144879,0.558038,0.734567,"Hillside (Melton)",0.297083,39891.5522,21341
0.139373,0.442509,0.851064,"HMAS Cerberus",0.418118,47892.5281,21343
0.129525,0.589499,0.708476,"Hoppers Crossing",0.280975,37915.19917,21345
0.346922,0.418605,0.736237,"Hughesdale",0.234473,42883.29246,21347
0.314381,0.445931,0.761745,"Huntingdale",0.239688,38043.9389,21349
0.451646,0.341805,0.759891,"Ivanhoe",0.20655,49679.04551,21353
0.506729,0.283126,0.807235,"Ivanhoe East",0.210145,59487.19905,21355
0.082317,0.675813,0.551515,"Jacana",0.24187,25738.51021,21357
0.05036,0.664269,0.708134,"Junction Village",0.285372,34005.81361,21359
0.326667,0.386667,0.759136,"Kallista",0.286667,40170.82755,21361
0.314286,0.378571,0.785206,"Kalorama",0.307143,43249.73347,21363
0.146174,0.610026,0.647277,"Kealba",0.243799,34415.42746,21365
0.196382,0.513889,0.755563,"Keilor",0.289729,43727.30598,21367
0.129617,0.630772,0.659136,"Keilor Downs",0.239611,32217.16362,21369
0.178357,0.5625,0.683959,"Keilor East",0.259143,35764.29716,21371
0.171518,0.519751,0.750515,"Keilor Lodge",0.308732,39154.63986,21373
0.166667,0.630952,0.0,"Keilor North",0.202381,39076.10545,21375
0.11083,0.616846,0.659911,"Keilor Park",0.272324,32734.86944,21377
0.456171,0.359483,0.754243,"Kensington",0.184346,55527.34594,21379
0.522349,0.297295,0.747381,"Kew",0.180356,57443.56348,21381
0.492054,0.317237,0.759242,"Kew East",0.190709,53254.2563,21383
0.122384,0.66565,0.66096,"Keysborough",0.211966,31241.43199,21385
0.104656,0.558289,0.739361,"Kilsyth",0.337055,36529.88736,21387
0.114428,0.527363,0.80743,"Kilsyth South",0.358209,43130.2263,21389
0.079983,0.747617,0.538063,"Kings Park",0.1724,24452.7244,21391
0.237636,0.547206,0.650417,"Kingsbury",0.215157,31368.40781,21393
0.320675,0.463666,0.706353,"Kingsville",0.215659,42374.44645,21395
0.182138,0.508254,0.750203,"Knoxfield",0.309608,39743.29419,21397
0.530612,0.298469,0.717949,"Kooyong",0.170918,74599.83768,21399
0.079636,0.725347,0.543328,"Lalor",0.195017,24547.23928,21401
0.107281,0.547067,0.76229,"Langwarrin",0.345652,40101.65555,21403
0.147541,0.502732,0.782847,"Langwarrin South",0.349727,39707.9358,21405
0.107831,0.671997,0.560327,"Laverton",0.220172,29280.08029,21407
0.0,0.0,0.0,"Laverton North",0.0,0.0,21409
0.130323,0.529156,0.740776,"Lilydale",0.340521,38136.04955,21411
0.296279,0.420763,0.739789,"Lower Plenty",0.282958,46994.25107,21413
0.159909,0.551724,0.750756,"Lynbrook",0.288367,40622.37173,21415
0.220472,0.472441,0.819608,"Lyndhurst",0.307087,41702.2739,21417
0.188166,0.500172,0.815934,"Lysterfield",0.311662,48315.78083,21419
0.19917,0.46473,0.864979,"Lysterfield South",0.3361,58987.56404,21421
0.307782,0.418815,0.753313,"Macleod",0.273403,45311.30634,21423
0.212846,0.592884,0.589921,"Maidstone",0.19427,29905.59564,21425
0.498611,0.31183,0.74216,"Malvern",0.189559,61676.17576,21427
0.469108,0.31788,0.750747,"Malvern East",0.213012,53930.6339,21429
0.293946,0.473684,0.740687,"Maribyrnong",0.232369,42789.35447,21431
0.141951,0.527359,0.627389,"McCrae",0.33069,32837.88233,21433
0.404953,0.341588,0.791257,"McKinnon",0.25346,49986.59083,21435
0.072351,0.767034,0.456661,"Meadow Heights",0.160615,20294.12568,21437
0.449917,0.404378,0.646268,"Melbourne",0.145706,55671.77367,21439
0.275707,0.439428,0.752408,"Mentone",0.284865,44111.41035,21443
0.2,0.414286,0.0,"Merricks Beach",0.385714,38072.61019,21447
0.492278,0.340927,0.742769,"Middle Park",0.166795,66827.31075,21449
0.142503,0.585157,0.714302,"Mill Park",0.27234,35161.32529,21451
0.305451,0.432733,0.739832,"Mitcham",0.261815,43156.71284,21453
0.126421,0.522408,0.727334,"Monbulk",0.351171,33236.48845,21455
0.510425,0.27231,0.77699,"Mont Albert",0.217264,56107.65001,21457
0.442352,0.317064,0.773164,"Mont Albert North",0.240584,49402.39539,21459
0.267208,0.415562,0.772815,"Montmorency",0.31723,44854.85402,21461
0.17318,0.466404,0.761022,"Montrose",0.360416,40005.12255,21463
0.372643,0.411311,0.753131,"Moonee Ponds",0.216045,50959.22199,21465
0.23538,0.494152,0.707906,"Moorabbin",0.270468,40079.60071,21467
0.138533,0.529706,0.742593,"Mooroolbark",0.331762,37644.12227,21469
0.241074,0.45885,0.726097,"Mordialloc",0.300076,43172.72728,21471
0.156907,0.524493,0.694249,"Mornington",0.3186,35976.81478,21473
0.300813,0.378049,0.733244,"Mount Dandenong",0.321138,40014.85908,21475
