fieldsurfacetype, streetno, sportsplayed, facilityname, numberfieldcourts, facilitycondition, facilityupgradeage, postcode, facility_id, facilityage, streettype, changerooms, longitude, latitude, objectid, faciltysportplayedid, suburbtown, lga, streetname
"Turf Pitch","1","Cricket","Nagambie Recreation Reserve",1,"5. Very Good","1 - 5 Years",3608,"STRATH12911","11 - 25 Years","Road","Female, Male, Umpire/Officials",145.148745999551,-36.7927369990971,7847,21648,"NAGAMBIE","STRATHBOGIE","Blayney"
"Turf Pitch","36","Cricket","Ruffy Recreation Reserve",1,"4. Good","1 - 5 Years",3666,"STRATH12921","26 - 50 Years","Lane","Female, Male",145.515674999744,-36.9687579994821,7848,21669,"RUFFY","STRATHBOGIE","Noye"
"Concrete Pitch","62","Cricket","Strathbogie Recreation Reserve",1,"3. Average","11 + Years",3666,"STRATH12916","51 Years +","Road","Female, Male, Umpire/Officials",145.738967999816,-36.8500259992113,7849,21657,"STRATHBOGIE","STRATHBOGIE","Spring Creek"
"Synthetic Pitch","9","Cricket","Violet Town Golf Club",2,"4. Good","6 - 10 Years",3669,"STRATH12918","26 - 50 Years","Street","Female, Male",145.723109999481,-36.6309569993159,7850,21659,"VIOLET TOWN","STRATHBOGIE","Shiffner"
"Turf Pitch","2","Cricket","Violet Town Recreation Reserve",1,"5. Very Good","6 - 10 Years",3669,"STRATH12919","26 - 50 Years","Street","Female, Male, Umpire/Officials",145.719802999659,-36.634856998676,7851,21664,"VIOLET TOWN","STRATHBOGIE","Tulip"
"Grass","1","Croquet","Euroa Bowling Club",4,"3. Average","6 - 10 Years",3666,"STRATH12902","51 Years +","Street","Female, Male",145.574052000348,-36.7497639986864,7852,21630,"EUROA","STRATHBOGIE","Templeton"
"Grass","26","Croquet","Nagambie Croquet Club",2,"3. Average","11 + Years",3608,"STRATH12910","51 Years +","Street","Female, Male",145.155676999545,-36.7854569993055,7853,21646,"NAGAMBIE","STRATHBOGIE","Filson"
null,"2A","Equestrian","Longwood Recreation Reserve",1,"4. Good","11 + Years",3665,"STRATH12908","26 - 50 Years","Street","Female, Male, Umpire/Officials",145.427494999681,-36.8047359991502,7854,21641,"LONGWOOD","STRATHBOGIE","Down"
null,"36","Equestrian","Ruffy Recreation Reserve",1,"4. Good","1 - 5 Years",3666,"STRATH12921","26 - 50 Years","Lane","Female, Male",145.515674999744,-36.9687579994821,7855,21668,"RUFFY","STRATHBOGIE","Noye"
"18 Hole Course - Public","42","Golf","Avenel Golf Club",18,"4. Good","6 - 10 Years",3664,"STRATH12897","26 - 50 Years","Street","Female, Male",145.227092999949,-36.8895559993545,7856,21620,"AVENEL","STRATHBOGIE","Bank"
